id,gml_id,coordinates,bus_route_id,created_at,updated_at
1,db/N07-11_12.xml/cv1,"[[35.66551917,139.88722361],[35.66494488,139.89244774],[35.66298472,139.8917975],[35.65718417,139.89090056],[35.6568975,139.89142833],[35.65511194,139.89000889],[35.65467944,139.89082861],[35.65399694,139.89031444],[35.6539175,139.89051278],[35.64726444,139.88669611],[35.64658444,139.88851139],[35.64526556,139.88774806],[35.64460667,139.88713361],[35.64012778,139.87878639],[35.63837722,139.8766225],[35.63651333,139.88175056],[35.635685,139.88253278],[35.63517583,139.88366056],[35.63339178,139.8858217]]",1,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
2,db/N07-11_12.xml/cv2,"[[35.61196361,140.11530389],[35.61248977,140.11583703],[35.61049337,140.12019425],[35.60992922,140.12036887],[35.61006192,140.12173958],[35.61096401,140.12603795],[35.61164593,140.12648689],[35.61232108,140.12773193],[35.61319785,140.12808833],[35.61378565,140.12885736],[35.61497924,140.13342683],[35.61678694,140.13240528],[35.62115444,140.13101861],[35.62582,140.12723583],[35.63101583,140.126],[35.63200083,140.12603944],[35.64191028,140.11362611],[35.643395,140.11206806],[35.64613194,140.11019361],[35.64789083,140.10922444],[35.65381028,140.1067625],[35.65692417,140.10522444],[35.65808083,140.10415972],[35.66007935,140.1003657]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
3,db/N07-11_12.xml/cv3,"[[35.61235604,140.11474516],[35.61196361,140.11530389]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
4,db/N07-11_12.xml/cv4,"[[35.66007935,140.1003657],[35.66027278,140.09926028],[35.65975806,140.0990625],[35.65957861,140.09922944],[35.65952306,140.09963778],[35.66007935,140.1003657]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
5,db/N07-11_12.xml/cv5,"[[35.66007935,140.1003657],[35.6619746,140.10131032],[35.66356757,140.1030011],[35.66451528,140.10527],[35.66486222,140.10774222],[35.66540222,140.10964806],[35.66612361,140.11078889],[35.66906,140.11421639],[35.67016945,140.1162275],[35.67093,140.11874389],[35.67184583,140.1241875],[35.67267444,140.12729472],[35.67398972,140.13026306],[35.67475167,140.13161472],[35.67760389,140.13603194],[35.67908111,140.13865111],[35.68030722,140.14161796],[35.6811625,140.14494583],[35.68187433,140.14991083],[35.68230528,140.16106611],[35.68429556,140.17455583],[35.68445389,140.17888083],[35.68418417,140.18386444],[35.68295945,140.19223417],[35.68229611,140.19885528],[35.68214528,140.20284389],[35.68235,140.20877444],[35.68279556,140.212665],[35.68341417,140.21591917],[35.68608306,140.22646417],[35.6867297,140.23137206],[35.68735917,140.23917694],[35.68789944,140.24139417],[35.688785,140.24402083],[35.69018528,140.247075],[35.69199583,140.24982917],[35.69569611,140.25488028],[35.69754583,140.25798667],[35.69958402,140.26266989],[35.70229,140.27174417],[35.70381111,140.27559028],[35.70629653,140.27988014],[35.70864445,140.28281055],[35.71066695,140.28474611],[35.71315583,140.28658917],[35.71547028,140.28785861],[35.72519694,140.29204972],[35.72757278,140.29342139],[35.73068583,140.29566944],[35.73406694,140.2988925],[35.73599639,140.30122667],[35.74183153,140.30909484],[35.74571472,140.31317],[35.74861972,140.31549639],[35.75041062,140.31670245],[35.75911361,140.3211575],[35.76154805,140.32280444],[35.76383556,140.32486917],[35.76542952,140.32668459],[35.77086972,140.33466139],[35.77266924,140.33698227],[35.77421528,140.33862417],[35.77783139,140.34171444],[35.78281373,140.34446938],[35.78202611,140.34915472],[35.78182722,140.35280111],[35.78211008,140.35487893],[35.78468972,140.36216],[35.78531168,140.36481884],[35.78558331,140.36806443],[35.7854125,140.370175],[35.78510222,140.37170528],[35.78471488,140.37295649],[35.78397461,140.37448496],[35.78276333,140.37622472],[35.78180888,140.37726761],[35.77610167,140.38210417],[35.7730238,140.38431267]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
6,db/N07-11_12.xml/cv6,"[[35.70859078,139.95870264],[35.70938056,139.95865417]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
7,db/N07-11_12.xml/cv7,"[[35.70938056,139.95865417],[35.70874194,139.95978],[35.707685,139.96232889],[35.70684167,139.96499222],[35.70587667,139.96692222],[35.70566636,139.96858134],[35.70490667,139.96970111],[35.70326917,139.97347861],[35.69917194,139.97717556],[35.69825444,139.97854583],[35.69425056,139.98805972],[35.68940528,139.99768028],[35.68787,140.00224278],[35.68333444,140.01105111],[35.67865333,140.01889194],[35.67661333,140.02299],[35.67592,140.02511833],[35.67360889,140.02794611],[35.67164278,140.03078556],[35.67093333,140.03196361],[35.67052333,140.03335333],[35.66616944,140.03974833],[35.66273444,140.04347444],[35.65525556,140.05515972],[35.6482325,140.06388583],[35.64612556,140.06713694],[35.64277,140.07110667],[35.64051556,140.07499583],[35.63913222,140.07673389],[35.63473611,140.08202361],[35.62914944,140.08806139],[35.62331528,140.09353722],[35.61400944,140.10313972],[35.61118861,140.10528111],[35.61129528,140.1060025],[35.610715,140.10859528],[35.61039361,140.11430222],[35.61196361,140.11530389]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
8,db/N07-11_12.xml/cv8,"[[35.70938056,139.95865417],[35.71102972,139.95533778],[35.71211111,139.95590833],[35.71448194,139.95569361],[35.71497111,139.9560775],[35.71694885,139.95700956],[35.71841944,139.95814694],[35.7197459,139.9584648],[35.72328389,139.95900667],[35.73073417,139.95949694],[35.73181556,139.95953083],[35.73290583,139.9592625],[35.73424667,139.95844056],[35.73511583,139.95761444],[35.74225833,139.94666972],[35.74296861,139.94589167],[35.74439917,139.94502722],[35.74543,139.9434575],[35.74661333,139.94232917],[35.74782738,139.94189783],[35.75136083,139.94130333],[35.75606556,139.93999167],[35.75726778,139.93987722],[35.75996528,139.94009806],[35.76064722,139.94033472],[35.76229458,139.94131597],[35.76541472,139.94195444],[35.76995278,139.94250361],[35.77450806,139.94122444],[35.77693,139.94232361],[35.77942833,139.94313167],[35.78008222,139.94311861],[35.78106455,139.94247294],[35.78153,139.94246444],[35.78177667,139.94262],[35.78267806,139.94398861],[35.78393382,139.94462669],[35.78427528,139.94612417],[35.78585766,139.94539578],[35.78913306,139.94301611],[35.79100139,139.94315389],[35.79471722,139.94253722],[35.79896806,139.94007639],[35.80069944,139.94004944],[35.8094575,139.94084583],[35.81068916,139.94078046],[35.81165833,139.94051917],[35.81327336,139.93978896],[35.81540306,139.93819222],[35.81739694,139.93573393],[35.81902417,139.93323806],[35.82111889,139.93043111],[35.82325889,139.9335925],[35.82376361,139.93409917],[35.82463957,139.93479704],[35.83026833,139.93836333],[35.83541444,139.94021778],[35.836555,139.94024],[35.83808056,139.94000694],[35.83933056,139.94040972],[35.83992139,139.94118778],[35.84887278,139.95620222],[35.85829361,139.96518556],[35.86359917,139.96791861],[35.86476583,139.96872528],[35.86558528,139.96962111]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
9,db/N07-11_12.xml/cv9,"[[35.7730238,140.38431267],[35.76622528,140.38922278],[35.76555472,140.38926361],[35.76495444,140.38905667],[35.76443861,140.38863528],[35.76410611,140.38803361],[35.76399639,140.38512222],[35.76443778,140.38481667],[35.76755285,140.38701801],[35.77256214,140.38336425],[35.7730238,140.38431267]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
10,db/N07-11_12.xml/cv10,"[[35.7730238,140.38431267],[35.77359528,140.38548667],[35.77650917,140.38329111],[35.77713444,140.38315306],[35.77749167,140.38361972],[35.77720389,140.38436917],[35.77606611,140.38559167],[35.77490366,140.38616208],[35.77301953,140.38742937]]",2,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
