id,bus_type,operation_company,line_name,weekday_rate,saturday_rate,holiday_rate,note,created_at,updated_at
1,1,弘南バス（株）,アップル号,1.0,1.0,1.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
2,1,宮城交通（株）,ポーラスター,1.0,1.0,1.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
3,3,稲敷市,佐原・江戸崎線（水神・西代経由）,9.0,9.0,9.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
4,1,関東鉄道（株）,135,18.0,16.5,16.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
5,1,関東鉄道（株）,カシマサッカースタジアム～鹿島神宮駅～鹿島セントラルホテル～東京駅線,29.0,29.0,29.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
6,1,関東鉄道（株）,つくばセンター～羽田空港国際ターミナル,6.0,6.0,6.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
7,1,関東鉄道（株）,つくば号,21.5,18.5,18.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
8,1,関東鉄道（株）,ミッドナイトつくば号,0.5,0.5,0.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
9,1,関東鉄道（株）,ミッドナイトみと号,0.5,0.5,0.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
10,1,関東鉄道（株）,茨木空港～東京駅,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
11,1,関東鉄道（株）,海岸線,12.0,14.0,14.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
12,1,関東鉄道（株）,関鉄江戸崎～東京駅,4.0,4.0,4.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
13,1,関東鉄道（株）,岩井バスターミナル～東京駅,9.0,9.0,9.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
14,1,関東鉄道（株）,鹿島神宮駅～羽田空港国際線,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
15,1,関東鉄道（株）,鹿島神宮駅～東京テレポート,4.0,4.0,4.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
16,1,関東鉄道（株）,水戸駅～東京線（茨大）,5.0,4.5,4.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
17,1,関東鉄道（株）,水戸駅～東京線（県庁）,3.0,4.0,4.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
18,1,関東鉄道（株）,水戸駅～東京線（赤塚）,9.5,9.5,9.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
19,1,関東鉄道（株）,水戸駅南口～あべの橋駅（JR天王寺駅）,1.0,1.0,1.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
20,1,関東鉄道（株）,土浦駅東口～成田空港第1PTB,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
21,1,関東鉄道（株）,波崎～東京駅,4.0,4.0,4.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
22,1,関東鉄道（株）,波崎高校・波崎柳川高校スクール,0.9,0.0,0.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
23,1,関東鉄道（株）,利根川線,16.3,12.5,12.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
24,1,関鉄観光バス（株）,1＿01,2.0,2.5,2.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
25,1,関鉄観光バス（株）,1＿02,3.0,2.5,2.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
26,1,関鉄観光バス（株）,1＿03,0.0,0.5,0.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
27,1,関鉄観光バス（株）,1＿04,1.0,0.0,0.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
28,1,関鉄パープルバス（株）,300-1,2.0,2.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
29,1,関鉄パープルバス（株）,300-5,1.0,1.0,0.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
30,1,関鉄パープルバス（株）,301-1,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
31,1,関鉄パープルバス（株）,310-1,4.0,4.0,4.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
32,1,関鉄パープルバス（株）,310-5,4.0,4.0,4.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
33,1,関鉄グリーンバス（株）,800-1,6.0,6.0,6.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
34,1,茨城交通（株）,茨城交通大子営業所～新宿駅,9.0,9.0,9.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
35,1,茨城交通（株）,茨大,10.0,10.5,10.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
36,1,茨城交通（株）,県庁,15.0,17.0,17.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
37,1,茨城交通（株）,原子力機構前～東京駅,7.0,7.0,7.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
38,1,茨城交通（株）,赤塚,26.5,30.5,30.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
39,1,茨城交通（株）,日立駅前中央～羽田空港,1.0,1.0,1.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
40,1,茨城交通（株）,日立駅前中央～成田空港,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
41,1,関東自動車（株）,サルビア号,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
42,1,関東自動車（株）,マロニエ号　成田空港,5.0,5.0,5.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
43,1,関東自動車（株）,メープル号,3.0,3.0,3.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
44,1,関越交通（株）,アザレア号,14.0,14.0,14.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
45,1,茨城急行自動車（株）,007,1.0,1.0,1.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
46,1,茨城急行自動車（株）,008,22.0,18.0,18.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
47,1,茨城急行自動車（株）,017,16.0,16.0,16.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
48,1,国際十王交通（株）,成田空港線,2.0,2.0,2.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
49,3,市川市,南部ルート,26.0,26.0,26.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
50,3,市川市,北東部ルート,14.5,14.5,14.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
51,3,佐倉市,印旛学園線,11.0,11.0,11.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
52,3,佐倉市,観光循環バス,0.0,8.0,8.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
53,3,佐倉市,内郷往復ルート,6.5,6.5,6.5,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
54,3,佐倉市,飯野往復ルート,6.0,6.0,6.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
55,3,旭市,旭地区ルート,8.0,5.0,5.0,"",2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
